#,Company,Symbol,Weight,Price,Chg,% Chg
390,Essex Property Trust,ESS,0.03%,277.01,-1.13,0.41
391,Citizens Financial Group,CFG,0.03%,40.97,0.7,1.75
392,First Solar,FSLR,0.03%,165.3,1.46,0.89
393,KeyCorp,KEY,0.03%,16.17,0.26,1.67
394,Packaging Corporation of America,PKG,0.03%,196.73,2.03,1.04
395,Halliburton,HAL,0.03%,20.59,0.64,3.18
396,Mid-America Apartment Communities,MAA,0.03%,149.26,-0.56,0.38
397,Genuine Parts Company,GPC,0.03%,125.84,-0.33,0.26
398,Principal Financial Group,PFG,0.03%,76.78,0.84,1.11
399,Trimble Inc.,TRMB,0.03%,72.14,0.98,1.38
400,"F5, Inc.",FFIV,0.03%,295.1,1.14,0.39
401,Snap-on,SNA,0.03%,322.55,3.53,1.1
402,Hormel Foods,HRL,0.03%,30.48,-0.23,0.74
403,Ralph Lauren Corporation,RL,0.03%,274.57,-0.56,0.2
404,FactSet,FDS,0.03%,431.73,0.25,0.06
405,Deckers Brands,DECK,0.03%,109.61,1.29,1.19
406,Pentair,PNR,0.03%,99.22,-0.49,0.5
407,"Tapestry, Inc.",TPR,0.03%,78.49,-0.73,0.93
408,Molina Healthcare,MOH,0.03%,295.21,1.65,0.56
409,West Pharmaceutical Services,WST,0.03%,222.71,4.13,1.89
410,Domino's,DPZ,0.03%,466.1,6.07,1.32
411,Clorox,CLX,0.03%,127.43,0.13,0.1
412,Baxter International,BAX,0.03%,30.23,0.08,0.28
413,Alliant Energy,LNT,0.03%,60.12,-0.2,0.34
414,Expeditors International,EXPD,0.03%,112.27,1.12,1.01
415,Best Buy,BBY,0.03%,72.61,2.15,3.05
416,Jacobs Solutions,J,0.03%,127.41,2.41,1.93
417,Zebra Technologies,ZBRA,0.03%,295.07,3.83,1.32
418,CF Industries,CF,0.03%,92.4,0.12,0.13
419,Evergy,EVRG,0.03%,64.87,-0.2,0.31
420,Ball Corporation,BALL,0.03%,53.62,0.13,0.24
421,Paycom,PAYC,0.03%,265.02,1.08,0.41
422,Everest Group,EG,0.03%,345.04,1.22,0.35
423,Aptiv,APTV,0.03%,66.76,1.28,1.95
424,Cooper Companies (The),COO,0.03%,72.59,1.41,1.98
425,Hologic,HOLX,0.03%,64.24,1.17,1.85
426,Kimco Realty,KIM,0.03%,20.72,-0.11,0.5
427,Avery Dennison,AVY,0.03%,178.58,0.86,0.48
428,Omnicom Group,OMC,0.03%,71.19,0.97,1.38
429,J.B. Hunt,JBHT,0.03%,140.16,1.04,0.75
430,IDEX Corporation,IEX,0.03%,183.14,2.86,1.59
431,Teradyne,TER,0.03%,85.54,3.8,4.65
432,TKO Group Holdings,TKO,0.03%,166.54,-2.38,1.41
433,Textron,TXT,0.03%,75.38,0.88,1.17
434,"UDR, Inc.",UDR,0.03%,40.83,-0.15,0.37
435,Masco,MAS,0.02%,63.3,-0.02,0.03
436,Brown–Forman,BF.B,0.02%,28.16,0.91,3.35
437,Incyte,INCY,0.02%,68.68,1.44,2.15
